race,seats,party_id,party_name,votes
ElProgreso,2,1,UNE,13000
ElProgreso,2,2,VAMOS,10000
ElProgreso,2,3,UCN,9000
ElProgreso,2,4,VALOR,6000
ElProgreso,2,5,FCN,5000
ElProgreso,2,6,TODOS,4000
BajaVerapaz,2,1,UNE,14000
BajaVerapaz,2,2,VAMOS,9000
BajaVerapaz,2,3,UCN,7000
BajaVerapaz,2,13,WINAQ,5000
BajaVerapaz,2,14,MLP,4000
BajaVerapaz,2,15,URNG,3000
Zacapa,2,1,UNE,12000
Zacapa,2,2,VAMOS,14000
Zacapa,2,3,UCN,5000
Zacapa,2,4,VALOR,6000
Zacapa,2,5,FCN,8000
Zacapa,2,6,TODOS,3000
Sacatepequez,3,1,UNE,18000
Sacatepequez,3,2,VAMOS,15000
Sacatepequez,3,3,UCN,11000
Sacatepequez,3,9,VIVA,6000
Sacatepequez,3,10,CREO,9000
Sacatepequez,3,11,PHG,5000
Sacatepequez,3,12,SEMILLA,7000
SantaRosa,3,1,UNE,19000
SantaRosa,3,2,VAMOS,14000
SantaRosa,3,3,UCN,9000
SantaRosa,3,4,VALOR,7000
SantaRosa,3,5,FCN,10000
SantaRosa,3,6,TODOS,5000
Solola,3,1,UNE,13000
Solola,3,2,VAMOS,10000
Solola,3,12,SEMILLA,5000
Solola,3,13,WINAQ,17000
Solola,3,14,MLP,11000
Solola,3,15,URNG,7000
Retalhuleu,3,1,UNE,18000
Retalhuleu,3,2,VAMOS,14000
Retalhuleu,3,3,UCN,11000
Retalhuleu,3,4,VALOR,8000
Retalhuleu,3,5,FCN,7000
Retalhuleu,3,7,BIEN,5000
Izabal,3,1,UNE,17000
Izabal,3,2,VAMOS,13000
Izabal,3,3,UCN,10000
Izabal,3,4,VALOR,7000
Izabal,3,5,FCN,9000
Izabal,3,6,TODOS,5000
Chiquimula,3,1,UNE,17000
Chiquimula,3,2,VAMOS,11000
Chiquimula,3,3,UCN,9000
Chiquimula,3,4,VALOR,7000
Chiquimula,3,5,FCN,12000
Chiquimula,3,6,TODOS,5000
Jalapa,3,1,UNE,16000
Jalapa,3,2,VAMOS,12000
Jalapa,3,3,UCN,10000
Jalapa,3,4,VALOR,8000
Jalapa,3,5,FCN,9000
Jalapa,3,7,BIEN,6000
Totonicapan,4,1,UNE,18000
Totonicapan,4,2,VAMOS,12000
Totonicapan,4,12,SEMILLA,7000
Totonicapan,4,13,WINAQ,22000
Totonicapan,4,14,MLP,14000
Totonicapan,4,15,URNG,9000
Totonicapan,4,16,EG,5000
Peten,4,1,UNE,22000
Peten,4,2,VAMOS,17000
Peten,4,3,UCN,11000
Peten,4,4,VALOR,9000
Peten,4,5,FCN,12000
Peten,4,6,TODOS,7000
Peten,4,11,PHG,5000
Jutiapa,4,1,UNE,21000
Jutiapa,4,2,VAMOS,16000
Jutiapa,4,3,UCN,10000
Jutiapa,4,4,VALOR,8000
Jutiapa,4,5,FCN,12000
Jutiapa,4,6,TODOS,6000
Chimaltenango,5,1,UNE,26000
Chimaltenango,5,2,VAMOS,19000
Chimaltenango,5,3,UCN,14000
Chimaltenango,5,5,FCN,8000
Chimaltenango,5,9,VIVA,7000
Chimaltenango,5,12,SEMILLA,6000
Chimaltenango,5,13,WINAQ,9000
Chimaltenango,5,14,MLP,11000
Suchitepequez,5,1,UNE,25000
Suchitepequez,5,2,VAMOS,18000
Suchitepequez,5,3,UCN,13000
Suchitepequez,5,4,VALOR,9000
Suchitepequez,5,5,FCN,11000
Suchitepequez,5,6,TODOS,7000
Suchitepequez,5,7,BIEN,6000
Escuintla,6,1,UNE,30000
Escuintla,6,2,VAMOS,22000
Escuintla,6,3,UCN,17000
Escuintla,6,4,VALOR,11000
Escuintla,6,5,FCN,14000
Escuintla,6,6,TODOS,9000
Escuintla,6,7,BIEN,7000
Escuintla,6,8,HUMANISTA,6000
Quetzaltenango,7,1,UNE,32000
Quetzaltenango,7,2,VAMOS,24000
Quetzaltenango,7,3,UCN,18000
Quetzaltenango,7,4,VALOR,10000
Quetzaltenango,7,5,FCN,9000
Quetzaltenango,7,12,SEMILLA,7000
Quetzaltenango,7,13,WINAQ,14000
Quetzaltenango,7,14,MLP,12000
Quiche,8,1,UNE,32000
Quiche,8,2,VAMOS,22000
Quiche,8,3,UCN,13000
Quiche,8,4,VALOR,11000
Quiche,8,12,SEMILLA,9000
Quiche,8,13,WINAQ,38000
Quiche,8,14,MLP,25000
Quiche,8,15,URNG,14000
AltaVerapaz,9,1,UNE,45000
AltaVerapaz,9,2,VAMOS,33000
AltaVerapaz,9,3,UCN,22000
AltaVerapaz,9,4,VALOR,10000
AltaVerapaz,9,12,SEMILLA,8000
AltaVerapaz,9,13,WINAQ,18000
AltaVerapaz,9,14,MLP,15000
AltaVerapaz,9,15,URNG,12000
SanMarcos,9,1,UNE,45000
SanMarcos,9,2,VAMOS,32000
SanMarcos,9,3,UCN,22000
SanMarcos,9,4,VALOR,14000
SanMarcos,9,5,FCN,18000
SanMarcos,9,6,TODOS,8000
SanMarcos,9,13,WINAQ,10000
SanMarcos,9,14,MLP,12000
Huehuetenango,10,1,UNE,50000
Huehuetenango,10,2,VAMOS,36000
Huehuetenango,10,3,UCN,25000
Huehuetenango,10,4,VALOR,13000
Huehuetenango,10,5,FCN,10000
Huehuetenango,10,12,SEMILLA,8000
Huehuetenango,10,13,WINAQ,16000
Huehuetenango,10,14,MLP,20000
Huehuetenango,10,15,URNG,11000
DistritoCentral,11,1,UNE,47000
DistritoCentral,11,2,VAMOS,40000
DistritoCentral,11,3,UCN,22000
DistritoCentral,11,4,VALOR,28000
DistritoCentral,11,5,FCN,18000
DistritoCentral,11,7,BIEN,14000
DistritoCentral,11,8,HUMANISTA,9000
DistritoCentral,11,10,CREO,11000
DistritoCentral,11,12,SEMILLA,55000
DistritoCentral,11,16,EG,7000
DistritoGuatemala,19,1,UNE,95000
DistritoGuatemala,19,2,VAMOS,80000
DistritoGuatemala,19,3,UCN,42000
DistritoGuatemala,19,4,VALOR,50000
DistritoGuatemala,19,5,FCN,35000
DistritoGuatemala,19,7,BIEN,28000
DistritoGuatemala,19,8,HUMANISTA,22000
DistritoGuatemala,19,9,VIVA,9000
DistritoGuatemala,19,10,CREO,18000
DistritoGuatemala,19,11,PHG,14000
DistritoGuatemala,19,12,SEMILLA,65000
DistritoGuatemala,19,16,EG,11000
Nacional,32,1,UNE,850000
Nacional,32,2,VAMOS,600000
Nacional,32,3,UCN,500000
Nacional,32,4,VALOR,350000
Nacional,32,5,FCN,350000
Nacional,32,6,TODOS,300000
Nacional,32,7,BIEN,250000
Nacional,32,8,HUMANISTA,250000
Nacional,32,9,VIVA,230000
Nacional,32,10,CREO,200000
Nacional,32,11,PHG,200000
Nacional,32,12,SEMILLA,180000
Nacional,32,13,WINAQ,150000
Nacional,32,14,MLP,130000
Nacional,32,15,URNG,100000
Nacional,32,16,EG,90000
Nacional,32,17,CONVERGENCIA,80000
Nacional,32,18,PAN,80000
Nacional,32,19,PROSPERIDAD,60000
Parlacen,20,1,UNE,900000
Parlacen,20,2,VAMOS,620000
Parlacen,20,3,UCN,480000
Parlacen,20,4,VALOR,360000
Parlacen,20,5,FCN,340000
Parlacen,20,6,TODOS,290000
Parlacen,20,7,BIEN,240000
Parlacen,20,8,HUMANISTA,240000
Parlacen,20,9,VIVA,220000
Parlacen,20,10,CREO,200000
Parlacen,20,11,PHG,200000
Parlacen,20,12,SEMILLA,170000
Parlacen,20,13,WINAQ,150000
Parlacen,20,14,MLP,130000
Parlacen,20,15,URNG,100000
Parlacen,20,16,EG,90000
Parlacen,20,17,CONVERGENCIA,80000
Parlacen,20,18,PAN,80000
Parlacen,20,19,PROSPERIDAD,60000
