race,seats,party_id,party_name,votes,expected_seats
ElProgreso,2,1,UNE,13000,1
ElProgreso,2,2,VAMOS,10000,1
ElProgreso,2,3,UCN,9000,0
ElProgreso,2,4,VALOR,6000,0
ElProgreso,2,5,FCN,5000,0
ElProgreso,2,6,TODOS,4000,0
BajaVerapaz,2,1,UNE,14000,1
BajaVerapaz,2,2,VAMOS,9000,1
BajaVerapaz,2,3,UCN,7000,0
BajaVerapaz,2,13,WINAQ,5000,0
BajaVerapaz,2,14,MLP,4000,0
BajaVerapaz,2,15,URNG,3000,0
Zacapa,2,1,UNE,12000,1
Zacapa,2,2,VAMOS,14000,1
Zacapa,2,3,UCN,5000,0
Zacapa,2,4,VALOR,6000,0
Zacapa,2,5,FCN,8000,0
Zacapa,2,6,TODOS,3000,0
Sacatepequez,3,1,UNE,18000,1
Sacatepequez,3,2,VAMOS,15000,1
Sacatepequez,3,3,UCN,11000,1
Sacatepequez,3,9,VIVA,6000,0
Sacatepequez,3,10,CREO,9000,0
Sacatepequez,3,11,PHG,5000,0
Sacatepequez,3,12,SEMILLA,7000,0
SantaRosa,3,1,UNE,19000,1
SantaRosa,3,2,VAMOS,14000,1
SantaRosa,3,3,UCN,9000,0
SantaRosa,3,4,VALOR,7000,0
SantaRosa,3,5,FCN,10000,1
SantaRosa,3,6,TODOS,5000,0
Solola,3,1,UNE,13000,1
Solola,3,2,VAMOS,10000,0
Solola,3,12,SEMILLA,5000,0
Solola,3,13,WINAQ,17000,1
Solola,3,14,MLP,11000,1
Solola,3,15,URNG,7000,0
Retalhuleu,3,1,UNE,18000,1
Retalhuleu,3,2,VAMOS,14000,1
Retalhuleu,3,3,UCN,11000,1
Retalhuleu,3,4,VALOR,8000,0
Retalhuleu,3,5,FCN,7000,0
Retalhuleu,3,7,BIEN,5000,0
Izabal,3,1,UNE,17000,1
Izabal,3,2,VAMOS,13000,1
Izabal,3,3,UCN,10000,1
Izabal,3,4,VALOR,7000,0
Izabal,3,5,FCN,9000,0
Izabal,3,6,TODOS,5000,0
Chiquimula,3,1,UNE,17000,1
Chiquimula,3,2,VAMOS,11000,1
Chiquimula,3,3,UCN,9000,0
Chiquimula,3,4,VALOR,7000,0
Chiquimula,3,5,FCN,12000,1
Chiquimula,3,6,TODOS,5000,0
Jalapa,3,1,UNE,16000,1
Jalapa,3,2,VAMOS,12000,1
Jalapa,3,3,UCN,10000,1
Jalapa,3,4,VALOR,8000,0
Jalapa,3,5,FCN,9000,0
Jalapa,3,7,BIEN,6000,0
Totonicapan,4,1,UNE,18000,1
Totonicapan,4,2,VAMOS,12000,1
Totonicapan,4,12,SEMILLA,7000,0
Totonicapan,4,13,WINAQ,22000,1
Totonicapan,4,14,MLP,14000,1
Totonicapan,4,15,URNG,9000,0
Totonicapan,4,16,EG,5000,0
Peten,4,1,UNE,22000,2
Peten,4,2,VAMOS,17000,1
Peten,4,3,UCN,11000,0
Peten,4,4,VALOR,9000,0
Peten,4,5,FCN,12000,1
Peten,4,6,TODOS,7000,0
Peten,4,11,PHG,5000,0
Jutiapa,4,1,UNE,21000,2
Jutiapa,4,2,VAMOS,16000,1
Jutiapa,4,3,UCN,10000,0
Jutiapa,4,4,VALOR,8000,0
Jutiapa,4,5,FCN,12000,1
Jutiapa,4,6,TODOS,6000,0
Chimaltenango,5,1,UNE,26000,2
Chimaltenango,5,2,VAMOS,19000,1
Chimaltenango,5,3,UCN,14000,1
Chimaltenango,5,5,FCN,8000,0
Chimaltenango,5,9,VIVA,7000,0
Chimaltenango,5,12,SEMILLA,6000,0
Chimaltenango,5,13,WINAQ,9000,0
Chimaltenango,5,14,MLP,11000,1
Suchitepequez,5,1,UNE,25000,2
Suchitepequez,5,2,VAMOS,18000,1
Suchitepequez,5,3,UCN,13000,1
Suchitepequez,5,4,VALOR,9000,0
Suchitepequez,5,5,FCN,11000,1
Suchitepequez,5,6,TODOS,7000,0
Suchitepequez,5,7,BIEN,6000,0
Escuintla,6,1,UNE,30000,2
Escuintla,6,2,VAMOS,22000,2
Escuintla,6,3,UCN,17000,1
Escuintla,6,4,VALOR,11000,0
Escuintla,6,5,FCN,14000,1
Escuintla,6,6,TODOS,9000,0
Escuintla,6,7,BIEN,7000,0
Escuintla,6,8,HUMANISTA,6000,0
Quetzaltenango,7,1,UNE,32000,2
Quetzaltenango,7,2,VAMOS,24000,2
Quetzaltenango,7,3,UCN,18000,1
Quetzaltenango,7,4,VALOR,10000,0
Quetzaltenango,7,5,FCN,9000,0
Quetzaltenango,7,12,SEMILLA,7000,0
Quetzaltenango,7,13,WINAQ,14000,1
Quetzaltenango,7,14,MLP,12000,1
Quiche,8,1,UNE,32000,2
Quiche,8,2,VAMOS,22000,1
Quiche,8,3,UCN,13000,1
Quiche,8,4,VALOR,11000,0
Quiche,8,12,SEMILLA,9000,0
Quiche,8,13,WINAQ,38000,2
Quiche,8,14,MLP,25000,1
Quiche,8,15,URNG,14000,1
AltaVerapaz,9,1,UNE,45000,3
AltaVerapaz,9,2,VAMOS,33000,2
AltaVerapaz,9,3,UCN,22000,1
AltaVerapaz,9,4,VALOR,10000,0
