level,code,name,parent_code,parent_level
country,GT,Guatemala,,
country,GT-PARLACEN,Nacional (PARLACEN),,
department,01,Guatemala,GT,country
department,02,El Progreso,GT,country
department,03,Sacatepéquez,GT,country
department,04,Chimaltenango,GT,country
department,05,Escuintla,GT,country
department,06,Santa Rosa,GT,country
department,07,Sololá,GT,country
department,08,Totonicapán,GT,country
department,09,Quetzaltenango,GT,country
department,10,Suchitepéquez,GT,country
department,11,Retalhuleu,GT,country
department,12,San Marcos,GT,country
department,13,Huehuetenango,GT,country
department,14,Quiché,GT,country
department,15,Baja Verapaz,GT,country
department,16,Alta Verapaz,GT,country
department,17,Petén,GT,country
department,18,Izabal,GT,country
department,19,Zacapa,GT,country
department,20,Chiquimula,GT,country
department,21,Jalapa,GT,country
department,22,Jutiapa,GT,country
district,D-GT-CENTRAL,Distrito Central,01,department
district,D-GT-GUATEMALA,Distrito de Guatemala,01,department
district,D-EP,El Progreso,02,department
district,D-SA,Sacatepéquez,03,department
district,D-CM,Chimaltenango,04,department
district,D-ES,Escuintla,05,department
district,D-SR,Santa Rosa,06,department
district,D-SO,Sololá,07,department
district,D-TO,Totonicapán,08,department
district,D-QZ,Quetzaltenango,09,department
district,D-SU,Suchitepéquez,10,department
district,D-RE,Retalhuleu,11,department
district,D-SM,San Marcos,12,department
district,D-HU,Huehuetenango,13,department
district,D-QC,Quiché,14,department
district,D-BV,Baja Verapaz,15,department
district,D-AV,Alta Verapaz,16,department
district,D-PE,Petén,17,department
district,D-IZ,Izabal,18,department
district,D-ZA,Zacapa,19,department
district,D-CQ,Chiquimula,20,department
district,D-JA,Jalapa,21,department
district,D-JU,Jutiapa,22,department
municipality,0101,Guatemala,01,department
municipality,0102,Santa Catarina Pinula,01,department
municipality,0103,San José Pinula,01,department
municipality,0104,San José del Golfo,01,department
municipality,0105,Palencia,01,department
municipality,0106,Chinautla,01,department
municipality,0107,San Pedro Ayampuc,01,department
municipality,0108,Mixco,01,department
municipality,0109,San Pedro Sacatepéquez,01,department
municipality,0110,San Juan Sacatepéquez,01,department
municipality,0111,San Raymundo,01,department
municipality,0112,Chuarrancho,01,department
municipality,0113,Fraijanes,01,department
municipality,0114,Amatitlán,01,department
municipality,0115,Villa Nueva,01,department
municipality,0116,Villa Canales,01,department
municipality,0117,San Miguel Petapa,01,department
municipality,0201,Guastatoya,02,department
municipality,0202,Morazán,02,department
municipality,0203,San Agustín Acasaguastlán,02,department
municipality,0204,San Cristóbal Acasaguastlán,02,department
municipality,0205,El Jícaro,02,department
municipality,0206,Sansare,02,department
municipality,0207,Sanarate,02,department
municipality,0208,San Antonio La Paz,02,department
municipality,0301,Antigua Guatemala,03,department
municipality,0302,Jocotenango,03,department
municipality,0303,Pastores,03,department
municipality,0304,Sumpango,03,department
municipality,0305,Santo Domingo Xenacoj,03,department
municipality,0306,Santiago Sacatepéquez,03,department
municipality,0307,San Bartolomé Milpas Altas,03,department
municipality,0308,San Lucas Sacatepéquez,03,department
municipality,0309,Santa Lucía Milpas Altas,03,department
municipality,0310,Magdalena Milpas Altas,03,department
municipality,0311,Santa María de Jesús,03,department
municipality,0312,Ciudad Vieja,03,department
municipality,0313,San Miguel Dueñas,03,department
municipality,0314,Alotenango,03,department
municipality,0315,San Antonio Aguas Calientes,03,department
municipality,0316,Santa Catarina Barahona,03,department
municipality,0401,Chimaltenango,04,department
municipality,0402,San José Poaquil,04,department
municipality,0403,San Martín Jilotepeque,04,department
municipality,0404,Comalapa,04,department
municipality,0405,Santa Apolonia,04,department
municipality,0406,Tecpán Guatemala,04,department
municipality,0407,Patzún,04,department
municipality,0408,Pochuta,04,department
municipality,0409,Patzicía,04,department
municipality,0410,Santa Cruz Balanyá,04,department
municipality,0411,Acatenango,04,department
municipality,0412,Yepocapa,04,department
municipality,0413,San Andrés Itzapa,04,department
municipality,0414,Parramos,04,department
municipality,0415,Zaragoza,04,department
municipality,0416,El Tejar,04,department
municipality,0501,Escuintla,05,department
municipality,0502,Santa Lucía Cotzumalguapa,05,department
municipality,0503,La Democracia,05,department
municipality,0504,Siquinalá,05,department
municipality,0505,Masagua,05,department
municipality,0506,Tiquisate,05,department
municipality,0507,La Gomera,05,department
municipality,0508,Guanagazapa,05,department
municipality,0509,San José,05,department
municipality,0510,Iztapa,05,department
municipality,0511,Palín,05,department
municipality,0512,San Vicente Pacaya,05,department
municipality,0513,Nueva Concepción,05,department
municipality,0514,Sipacate,05,department
municipality,0601,Cuilapa,06,department
municipality,0602,Barberena,06,department
municipality,0603,Santa Rosa de Lima,06,department
municipality,0604,Casillas,06,department
municipality,0605,San Rafael Las Flores,06,department
municipality,0606,Oratorio,06,department
municipality,0607,San Juan Tecuaco,06,department
municipality,0608,Chiquimulilla,06,department
municipality,0609,Taxisco,06,department
municipality,0610,Santa María Ixhuatán,06,department
municipality,0611,Guazacapán,06,department
municipality,0612,Santa Cruz Naranjo,06,department
municipality,0613,Pueblo Nuevo Viñas,06,department
municipality,0614,Nueva Santa Rosa,06,department
municipality,0701,Sololá,07,department
municipality,0702,San José Chacayá,07,department
municipality,0703,Santa María Visitación,07,department
