headline_id,headline_text,candidate_ids,party_ids,labeled_at,labeled_by
1,"Sin Foden, Palmer, Maguire ni Trent: Inglaterra presenta su convocatoria para el Mundial 2026",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
2,Conciertos gratuitos del coro alemán de Augsburgo: fechas y lugares en Guatemala,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
3,Municipal y Xelajú llegan a la final del Clausura 2026 con ataque repartido: estos son sus goleadores,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
4,"Congreso retomará discusión de ley antilavado, mientras afina cambios técnicos y constitucionales",,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
5,Acuerdos entre Guatemala y EE. UU. cumple un año con avances para modernizar EPQ,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
6,Un nuevo ícono y referente de entretenimiento en la región,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
7,Guatemala busca diálogo con EE. UU. ante controles que podrían frenar envío de remesas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
8,Por las buenas,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
9,Postuladora de contralor se debe auditar desde ya,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
10,Un análisis del Post revela que el lenguaje soez es un rasgo distintivo del segundo mandato de Trump,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
11,A veces las prestaciones son un premio injusto,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
12,Cuando los cuatro jinetes dejan de ser una visión,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
13,Curruchiche,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
14,La cola de los 91 días,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
15,Horóscopo de hoy viernes 22 de mayo de 2026,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
16,¿Cómo puede evitar el dolor de espalda?,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
17,Expresarse con propiedad,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
18,Vamos al grano | “Siguen reinstalando gente que cobra y no llega a trabajar al Aeropuerto La Aurora”,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
19,Jose Rubén Zamora acusa a 10 personas de impulsar una persecución judicial en su contra,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
20,“Frialdad y falta de remordimiento”: ataque armado en La Brigada queda grabado en videos,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
21,Estudios relacionan posible vínculo entre conservantes y colorantes con mayor riesgo de cáncer y diabetes,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
22,¿Qué se sabe de las tres hermanas asesinadas en masacre en finca de palma africana en Honduras?,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
23,Ejército niega contagios de ébola en cascos azules guatemaltecos designados en El Congo,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
24,Bodega del AeroMetro equivale a casi ocho canchas de futbol y ya resguarda 40% del equipo para el teleférico que unirá Mixco y la capital,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
25,Emily in Paris tendrá una última temporada con el regreso del elenco principal,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
26,¿Qué sucede en Honduras? Dos masacres en distintas regiones del país marcan una jornada violenta,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
27,TMZ revela nuevos detalles sobre la boda de Taylor Swift y Travis Kelce,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
28,Mundial 2026: Cuántos goles y asistencias necesita Mbappé para alcanzar el récord de Messi,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
29,Videos muestran enorme bola de fuego tras explosión de camión cisterna en El Progreso,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
30,Masacre en Honduras: Guatemala en alerta por enfrentamiento armado cerca de la zona fronteriza,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
31,Masacre en Honduras: qué se sabe de las dos matanzas que dejaron al menos 15 muertos y provocaron una intervención militar,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
32,¿Multas de US$18 mil? la propuesta de Trump contra inmigrantes que no cumplan las órdenes de deportación,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
33,“Le inyectó las drogas a Matthew”: la carta que la madre de Matthew Perry envió al tribunal ante el juicio contra el asistente del actor,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
34,Juzgado levanta embargo sobre finca con lujosa mansión vinculada a Alejandro Giammattei,110,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
35,Cannes 2026: Kevin Spacey vuelve a escena luego del movimiento #MeToo,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
36,Por qué Trump ha anunciado el despliegue de 5 mil tropas estadounidenses a Polonia,,,2026-05-22,claude-opus-4-7+gazetteer-anchored/jlcp89
